Date,Review
22 de abril de 2023,"Local ótimo para curtir a noite, muita música a noite! me diverti muito, com certeza virei muito mais vezes!"
19 de abril de 2023,"Atendimento excelente, comida muito saborosa e os pedidos chegaram rapidamente! Além de um cardápio com diversas opções boas!"
19 de abril de 2023,"Ambiente agradável, com música excelente e atendimento exímio. Recomendo e certamente voltaria no futuro."
18 de abril de 2023,"Garçom Matheus, está de parabéns!!! atendimento nota MIL!!! amei a experiência de passar meu aniversário nesse restaurante, atendimento e comida maravilhosa🥰"
18 de abril de 2023,"Excelente ambiente, divertido, boa gastronomia, musica e bebida boa! Atendimento excepcional! Amei comemorar meu aniver!"
16 de abril de 2023,Ambiente divertido e muito bem decorado. Comidas deliciosas. Atendimento eficaz e rapido. Garçons muito educados e solícitos.
16 de abril de 2023,Maria nos atendeu muitíssimo bem e a quesadilla de ovomaltine estava divina (peçam com queijo vocês não vão se arrepender).
12 de abril de 2023,Recomendo. Excelente gastronomia. Preço justo. Drinks maravilhosos . O garçom Matheus uma simpatia. E cantores ótimos
11 de abril de 2023,Comida boa e ótima música ao vivo. Rodízio bem servido e variado. Tudo que se espera de um bom restaurante com comida e temática mexicana.
10 de abril de 2023,"Não tive uma boa experiência.
Atendimento deixou a desejar, tivemos que pedir 3x um determinado prato.
Rodízio sempre servindo os mesmos pratos.
Não fomos avisados que possuíam um mesa onde também podíamos nos servir, nos demos conta porque a mesa ao lado se serviu do...Mais"
9 de abril de 2023,"Muito bom amigo Matheus muito gente boa e muito educado, bebidas ótimas e chopp bem gelado incrível aqui"
9 de abril de 2023,Ambiente animado e que também dá pra ir com crianças. Ótimos drinks e petiscos. A decoração da casa é linda e a música convidativa
8 de abril de 2023,"O atendente Matheus, fez ótimas recomendações, com muita educação, simpatia, conhecia a descrição de todos os pratos"
8 de abril de 2023,"Comida boa e Matheus fez um ótimo atendimento! 
Gostamos do ambiente e da comida.  
O ambiente é muito bom para comemorar aniversários!"
7 de abril de 2023,"Ótimo local, boa comida e bebida gelada! 
Atendido pelo Matheus (2 andar). Excelente atendimento, educado, rápido e prestativo. Recomendo local 👏🏽"
7 de abril de 2023,"Comida e espaço muito gostoso , lugar tem uma decoração linda! Atendimento bem legal também! Adorei essa experiência"
7 de abril de 2023,"Comida muito boa, com opcoes veganas, atendimento excelente. Musica ao vivo q completa a experiência, foi otimo! …….."
6 de abril de 2023,"O Matheus é o melhor Garçom do mundo, súper atencioso 

O atendimento desse lugar é muito bom, música ao vivo.

A comida é maravilhosa"
6 de abril de 2023,"Comida gostosa, atendimento excelente com direito a canções clássicas ao vivo pelos mariachi. Recomendo demais."
2 de abril de 2023,"Restaurante excelente, Matheus que nos atendeu e foi muito atencioso e educado !!! Indico sem dúvidas"
31 de março de 2023,"Local agradável e comida boa. Equipe de atendimento prestativa e simpática. Recebemos nossos pedidos em um bom tempo e bem saborosos. A apresentação do grupo mexicano é um show a parte, muito divertidos. Vale a pena a experiência."
31 de março de 2023,"Atendimento do Matheus excelente, super atencioso e boas recomendações. No mais, comida boa e todos os garçons muito eficientes"
31 de março de 2023,"Para quem é  fã do México,  pode vir que não tem erro! Perfeito!!!
Todo atendimento,  ambiente, localização! E o principal: Os Mariachis!!!"
27 de março de 2023,"Falta de organização, + de 1 hora de rodizio e só chegou duas tortinhas e uma costela, lindao esse rodízio"
18 de março de 2023,"melhor restaurante de joinville, ambiente aconchegante, comida deliciosa, drinks incríveis e o garçom kayhan é super atencioso e prestativo!! recomendo muito"
12 de março de 2023,"Ir guacamole mesma coisa que ser assaltado só que sem arma…
Rodízio não vale apena …. Comida e toda repetida só muda as massas … não quantidade que querem porque funcionários logo logo tiram pratos sem autorização e trazem sobremesa uma experiência nada agradável não...Mais"
4 de março de 2023,Comemos o rodízio especial de almoço. Tudo perfeito no almoço com a minha noiva. A guacamole estava incrível
2 de março de 2023,"Boa comida !!!!
Boa bebida !!!!
Serviço Agil !!!
Chiara atendente super simpática !!
Super indico !!!"
20 de fevereiro de 2023,Glória nos atendeu maravilhosamente amamos a experiência. Comida bem servida os sanduíches são bem recheados e dão para duas pessoas tranquilamente
20 de fevereiro de 2023,"Ambiente temático, música ambiente animada. Atendimento excelente e comida deliciosa! Recomendo fortemente."
